Order,Customer Id,Product,Region,OrderDate,Quantity,UnitPrice,Total Revenue,Total Revnue by Region
1001,Cus1278,Shirt,North,1/31/2023,5,20,100," 1,950,000.00 "
1002,Cus1022,Shoes,South,2/28/2023,10,50,500," 4,675,000.00 "
1003,Cus1064,Hat,East,3/31/2023,7,15,105," 2,450,000.00 "
1004,Cus1327,Socks,West,4/30/2023,3,5,15," 1,512,500.00 "
1005,Cus1309,Jacket,North,5/31/2023,2,60,120," 1,949,900.00 "
1006,Cus1141,Gloves,South,6/30/2023,8,25,200," 4,674,500.00 "
1007,Cus1199,Shirt,East,7/31/2023,12,40,480," 2,449,895.00 "
1008,Cus1385,Shoes,West,8/31/2023,4,15,60," 1,512,485.00 "
1009,Cus1410,Hat,North,9/30/2023,7,10,70," 1,949,780.00 "
1010,Cus1458,Socks,South,10/31/2023,9,30,270," 4,674,300.00 "
1011,Cus1233,Jacket,East,11/30/2023,6,35,210," 2,449,415.00 "
1012,Cus1234,Gloves,West,12/31/2023,5,20,100," 1,512,425.00 "
1013,Cus1138,Shirt,North,1/31/2024,8,50,400," 1,949,710.00 "
1014,Cus1489,Shoes,South,2/29/2024,10,60,600," 4,674,030.00 "
1015,Cus1462,Hat,East,3/31/2024,11,10,110," 2,449,205.00 "
1016,Cus1341,Socks,West,4/30/2024,4,20,80," 1,512,325.00 "
1017,Cus1069,Jacket,North,5/31/2024,3,30,90," 1,949,310.00 "
1018,Cus1288,Gloves,South,6/30/2024,12,25,300," 4,673,430.00 "
1019,Cus1093,Shoes,East,7/31/2024,5,15,75," 2,449,095.00 "
1020,Cus1259,Hat,West,8/31/2024,7,50,350," 1,512,245.00 "
1001,Cus1117,Shirt,North,1/31/2023,5,20,100," 1,949,220.00 "
1002,Cus1237,Shoes,South,2/28/2023,10,50,500," 4,673,130.00 "
1003,Cus1154,Hat,East,3/31/2023,7,15,105," 2,449,020.00 "
1004,Cus1147,Socks,West,4/30/2023,3,5,15," 1,511,895.00 "
1005,Cus1152,Jacket,North,5/31/2023,2,60,120," 1,949,120.00 "
1006,Cus1417,Gloves,South,6/30/2023,8,25,200," 4,672,630.00 "
